cbs_grid_code,area,neighborhood_code,neighborhood_name
E1101N4035,"10004",BU07580604,Heksenwiel
E1102N4035,"10004",BU07580604,Heksenwiel
E1103N4035,"10004",BU07580604,Heksenwiel
E1104N4035,"10004",BU07580609,Hagebeemd
E1105N4035,"10004",BU07580609,Hagebeemd
E1106N4035,"10004",BU07580609,Hagebeemd
E1107N4035,"10004",BU07580609,Hagebeemd
E1108N4035,"10004",BU07580609,Hagebeemd
E1109N4035,"10004",BU07580609,Hagebeemd
E1110N4035,"10004",BU07580609,Hagebeemd
E1111N4035,"10004",BU07580609,Hagebeemd
E1101N4034,"10004",BU07580604,Heksenwiel
E1102N4034,"10004",BU07580604,Heksenwiel
E1103N4034,"10004",BU07580609,Hagebeemd
E1104N4034,"10004",BU07580609,Hagebeemd
E1105N4034,"10004",BU07580601,Kievitsloop
E1106N4034,"10004",BU07580601,Kievitsloop
E1107N4034,"10004",BU07580601,Kievitsloop
E1108N4034,"10004",BU07580601,Kievitsloop
E1109N4034,"10004",BU07580601,Kievitsloop
E1110N4034,"10004",BU07580607,Emer
E1111N4034,"10004",BU07580607,Emer
E1101N4033,"10004",BU07580609,Hagebeemd
E1102N4033,"10004",BU07580609,Hagebeemd
E1103N4033,"10004",BU07580609,Hagebeemd
E1104N4033,"10004",BU07580609,Hagebeemd
E1105N4033,"10004",BU07580601,Kievitsloop
E1106N4033,"10004",BU07580601,Kievitsloop
E1107N4033,"10004",BU07580601,Kievitsloop
E1108N4033,"10004",BU07580601,Kievitsloop
E1109N4033,"10004",BU07580601,Kievitsloop
E1110N4033,"10004",BU07580607,Emer
E1111N4033,"10004",BU07580607,Emer
E1101N4032,"10004",BU07580609,Hagebeemd
E1102N4032,"10004",BU07580609,Hagebeemd
E1103N4032,"10004",BU07580609,Hagebeemd
E1104N4032,"10004",BU07580601,Kievitsloop
E1105N4032,"10004",BU07580601,Kievitsloop
E1106N4032,"10004",BU07580601,Kievitsloop
E1107N4032,"10004",BU07580601,Kievitsloop
E1108N4032,"10004",BU07580601,Kievitsloop
E1109N4032,"10004",BU07580601,Kievitsloop
E1110N4032,"10004",BU07580607,Emer
E1111N4032,"10004",BU07580607,Emer
E1101N4031,"10004",BU07580609,Hagebeemd
E1102N4031,"10004",BU07580609,Hagebeemd
E1103N4031,"10004",BU07580609,Hagebeemd
E1104N4031,"10004",BU07580601,Kievitsloop
E1105N4031,"10004",BU07580601,Kievitsloop
E1106N4031,"10004",BU07580601,Kievitsloop
E1107N4031,"10004",BU07580601,Kievitsloop
E1108N4031,"10004",BU07580601,Kievitsloop
E1109N4031,"10004",BU07580601,Kievitsloop
E1110N4031,"10004",BU07580607,Emer
E1111N4031,"10004",BU07580607,Emer
E1101N4030,"10004",BU07580609,Hagebeemd
E1102N4030,"10004",BU07580609,Hagebeemd
E1103N4030,"10004",BU07580609,Hagebeemd
E1104N4030,"10004",BU07580601,Kievitsloop
E1105N4030,"10004",BU07580601,Kievitsloop
E1106N4030,"10004",BU07580601,Kievitsloop
E1107N4030,"10004",BU07580601,Kievitsloop
E1108N4030,"10004",BU07580601,Kievitsloop
E1109N4030,"10004",BU07580601,Kievitsloop
E1110N4030,"10004",BU07580601,Kievitsloop
E1111N4030,"10004",BU07580607,Emer
E1101N4029,"10004",BU07580609,Hagebeemd
E1102N4029,"10004",BU07580609,Hagebeemd
E1103N4029,"10004",BU07580601,Kievitsloop
E1104N4029,"10004",BU07580601,Kievitsloop
E1105N4029,"10004",BU07580601,Kievitsloop
E1106N4029,"10004",BU07580601,Kievitsloop
E1107N4029,"10004",BU07580601,Kievitsloop
E1108N4029,"10004",BU07580601,Kievitsloop
E1109N4029,"10004",BU07580601,Kievitsloop
E1110N4029,"10004",BU07580601,Kievitsloop
E1111N4029,"10004",BU07580601,Kievitsloop
E1101N4028,"10004",BU07580609,Hagebeemd
E1102N4028,"10004",BU07580609,Hagebeemd
E1103N4028,"10004",BU07580601,Kievitsloop
E1104N4028,"10004",BU07580601,Kievitsloop
E1105N4028,"10004",BU07580601,Kievitsloop
E1106N4028,"10004",BU07580601,Kievitsloop
E1107N4028,"10004",BU07580601,Kievitsloop
E1108N4028,"10004",BU07580601,Kievitsloop
E1109N4028,"10004",BU07580601,Kievitsloop
E1110N4028,"10004",BU07580601,Kievitsloop
E1111N4028,"10004",BU07580601,Kievitsloop
E1101N4027,"10004",BU07580609,Hagebeemd
E1102N4027,"10004",BU07580601,Kievitsloop
E1103N4027,"10004",BU07580601,Kievitsloop
E1104N4027,"10004",BU07580601,Kievitsloop
E1105N4027,"10004",BU07580601,Kievitsloop
E1106N4027,"10004",BU07580601,Kievitsloop
E1107N4027,"10004",BU07580601,Kievitsloop
E1108N4027,"10004",BU07580601,Kievitsloop
E1109N4027,"10004",BU07580601,Kievitsloop
E1110N4027,"10004",BU07580601,Kievitsloop
E1111N4027,"10004",BU07580601,Kievitsloop
E1101N4026,"10004",BU07580609,Hagebeemd
E1102N4026,"10004",BU07580601,Kievitsloop
E1103N4026,"10004",BU07580601,Kievitsloop
E1104N4026,"10004",BU07580601,Kievitsloop
E1105N4026,"10004",BU07580601,Kievitsloop
E1106N4026,"10004",BU07580601,Kievitsloop
E1107N4026,"10004",BU07580601,Kievitsloop
E1108N4026,"10004",BU07580601,Kievitsloop
E1109N4026,"10004",BU07580601,Kievitsloop
E1110N4026,"10004",BU07580601,Kievitsloop
E1111N4026,"10004",BU07580601,Kievitsloop
E1101N4025,"10004",BU07580601,Kievitsloop
E1102N4025,"10004",BU07580601,Kievitsloop
E1103N4025,"10004",BU07580601,Kievitsloop
E1104N4025,"10004",BU07580601,Kievitsloop
E1105N4025,"10004",BU07580601,Kievitsloop
E1106N4025,"10004",BU07580601,Kievitsloop
E1107N4025,"10004",BU07580601,Kievitsloop
E1108N4025,"10004",BU07580601,Kievitsloop
E1109N4025,"10004",BU07580601,Kievitsloop
E1110N4025,"10004",BU07580601,Kievitsloop
E1111N4025,"10004",BU07580607,Emer
E1101N4024,"10004",BU07580601,Kievitsloop
E1102N4024,"10004",BU07580601,Kievitsloop
E1103N4024,"10004",BU07580600,Gageldonk
E1104N4024,"10004",BU07580600,Gageldonk
E1105N4024,"10004",BU07580600,Gageldonk
E1106N4024,"10004",BU07580600,Gageldonk
E1107N4024,"10004",BU07580600,Gageldonk
E1108N4024,"10004",BU07580601,Kievitsloop
E1109N4024,"10004",BU07580601,Kievitsloop
E1110N4024,"10004",BU07580601,Kievitsloop
E1111N4024,"10004",BU07580607,Emer
E1101N4023,"10004",BU07580600,Gageldonk
E1102N4023,"10004",BU07580600,Gageldonk
E1103N4023,"10004",BU07580600,Gageldonk
E1104N4023,"10004",BU07580600,Gageldonk
E1105N4023,"10004",BU07580600,Gageldonk
E1106N4023,"10004",BU07580600,Gageldonk
E1107N4023,"10004",BU07580600,Gageldonk
E1108N4023,"10004",BU07580601,Kievitsloop
E1109N4023,"10004",BU07580601,Kievitsloop
E1110N4023,"10004",BU07580601,Kievitsloop
E1111N4023,"10004",BU07580607,Emer
E1101N4022,"10004",BU07580600,Gageldonk
E1102N4022,"10004",BU07580600,Gageldonk
E1103N4022,"10004",BU07580600,Gageldonk
E1104N4022,"10004",BU07580600,Gageldonk
E1105N4022,"10004",BU07580600,Gageldonk
E1106N4022,"10004",BU07580600,Gageldonk
E1107N4022,"10004",BU07580600,Gageldonk
E1108N4022,"10004",BU07580601,Kievitsloop
E1109N4022,"10004",BU07580601,Kievitsloop
E1110N4022,"10004",BU07580607,Emer
E1111N4022,"10004",BU07580607,Emer
E1101N4021,"10004",BU07580600,Gageldonk
E1102N4021,"10004",BU07580600,Gageldonk
E1103N4021,"10004",BU07580600,Gageldonk
E1104N4021,"10004",BU07580600,Gageldonk
E1105N4021,"10004",BU07580600,Gageldonk
E1106N4021,"10004",BU07580600,Gageldonk
E1107N4021,"10004",BU07580600,Gageldonk
E1108N4021,"10004",BU07580601,Kievitsloop
E1109N4021,"10004",BU07580607,Emer
E1110N4021,"10004",BU07580607,Emer
E1111N4021,"10004",BU07580607,Emer
E1091N3995,"10003",BU07580505,Heilaar
E1092N3995,"10003",BU07580505,Heilaar
E1093N3995,"10003",BU07580505,Heilaar
E1094N3995,"10003",BU07580505,Heilaar
E1095N3995,"10003",BU07580505,Heilaar
E1096N3995,"10003",BU07580505,Heilaar
E1097N3995,"10003",BU07580505,Heilaar
E1098N3995,"10003",BU07580505,Heilaar
E1099N3995,"10003",BU07580505,Heilaar
