Neighbourhood,Year,Total crimes,Total Nuisance Next Year,Unemployment,Population
Bavel,2013,522,76,117,5300
Bavel,2013,522,33,117,5300
Bavel,2014,439,78,120,5265
Bavel,2014,439,38,120,5265
Bavel,2015,434,71,136,5320
Bavel,2015,434,36,136,5320
Bavel,2016,427,66,130,5360
Bavel,2016,427,31,130,5360
Bavel,2017,350,54,110,5380
Bavel,2017,350,28,110,5380
Bavel,2018,334,59,105,5460
Bavel,2018,334,45,105,5460
Bavel,2019,294,93,90,5435
Bavel,2019,294,52,90,5435
Bavel,2020,352,129,85,5395
Bavel,2020,352,98,85,5395
Bavel,2021,378,81,65,5395
Bavel,2021,378,48,65,5395
Belcrum,2013,234,57,85,3440
Belcrum,2014,283,96,70,3485
Belcrum,2015,313,106,77,3485
Belcrum,2016,378,135,70,3605
Belcrum,2017,300,122,60,3950
Belcrum,2018,317,124,60,3990
Belcrum,2019,329,161,50,3990
Belcrum,2020,347,187,60,4075
Belcrum,2021,330,173,40,4000
Biesdonk,2013,402,62,162,4975
Biesdonk,2014,417,82,140,5005
Biesdonk,2015,471,56,142,4985
Biesdonk,2016,391,76,120,4970
Biesdonk,2017,301,70,90,4995
Biesdonk,2018,313,104,70,5075
Biesdonk,2019,339,150,90,5055
Biesdonk,2020,424,88,90,5030
Biesdonk,2021,376,123,50,4945
Blauwe Kei,2013,211,43,85,3845
Blauwe Kei,2014,195,49,80,3875
Blauwe Kei,2015,217,55,77,3905
Blauwe Kei,2016,212,90,70,3935
Blauwe Kei,2017,161,47,70,3935
Blauwe Kei,2018,123,47,70,3940
Blauwe Kei,2019,154,62,60,3890
Blauwe Kei,2020,149,53,50,3855
Blauwe Kei,2021,144,83,40,3820
Boeimeer,2013,456,89,130,5790
Boeimeer,2014,390,133,110,5835
Boeimeer,2015,327,154,122,5895
Boeimeer,2016,387,77,100,5880
Boeimeer,2017,282,135,90,5795
Boeimeer,2018,230,58,90,5780
Boeimeer,2019,249,160,90,5775
Boeimeer,2020,288,184,100,5735
Boeimeer,2021,238,147,60,5695
Brabantpark,2013,618,215,262,10045
Brabantpark,2014,611,208,290,10080
Brabantpark,2015,581,227,260,10030
Brabantpark,2016,511,255,220,10170
Brabantpark,2017,445,195,190,10030
Brabantpark,2018,423,215,160,10095
Brabantpark,2019,452,481,160,10150
Brabantpark,2020,479,492,200,10265
Brabantpark,2021,466,288,130,10270
Buitengebied Bavel,2014,41,7,10,505
Buitengebied Bavel,2015,47,7,10,495
Buitengebied Bavel,2016,45,7,10,475
Buitengebied Bavel,2017,52,10,10,485
Buitengebied Bavel,2018,40,2,0,510
Buitengebied Bavel,2019,60,18,10,515
Buitengebied Bavel,2020,49,5,10,550
Buitengebied Bavel,2021,39,9,0,565
Buitengebied Prinsenbeek,2014,45,7,10,830
Buitengebied Prinsenbeek,2015,43,10,12,825
Buitengebied Prinsenbeek,2016,37,3,10,845
Buitengebied Prinsenbeek,2017,30,4,10,845
Buitengebied Prinsenbeek,2018,34,3,0,850
Buitengebied Prinsenbeek,2019,37,13,0,870
Buitengebied Prinsenbeek,2020,49,12,10,875
Buitengebied Prinsenbeek,2021,40,8,10,885
Buitengebied Teteringen,2014,13,4,0,210
Buitengebied Teteringen,2015,18,2,0,200
Buitengebied Teteringen,2016,11,2,0,205
Buitengebied Teteringen,2017,13,2,0,200
Buitengebied Teteringen,2018,13,1,0,190
Buitengebied Teteringen,2019,6,6,0,180
Buitengebied Teteringen,2020,8,13,0,180
