,Neighbourhood,Year,Total crimes,Total nuisances,Unemployment,Population,neighborhood_code,green_score
0,Bavel,2016,427,71,130.0,5360,BU07580700,30.603783231083845
1,Bavel,2016,427,36,130.0,5360,BU07580700,30.603783231083845
2,Bavel,2017,350,66,110.0,5380,BU07580700,33.5
3,Bavel,2017,350,31,110.0,5380,BU07580700,33.5
4,Bavel,2018,334,54,105.0,5460,BU07580700,30.046560846560848
5,Bavel,2018,334,28,105.0,5460,BU07580700,30.046560846560848
6,Belcrum,2014,283,57,70.0,3485,BU07580100,20.259562841530055
7,Belcrum,2015,313,96,77.5,3485,BU07580100,21.98941798941799
8,Belcrum,2016,378,106,70.0,3605,BU07580100,22.051724137931036
9,Belcrum,2017,300,135,60.0,3950,BU07580100,22.942528735632184
10,Belcrum,2018,317,122,60.0,3990,BU07580100,20.026688453159043
11,Biesdonk,2014,417,62,140.0,5005,BU07580102,26.575
12,Biesdonk,2015,471,82,142.5,4985,BU07580102,23.245934959349594
13,Biesdonk,2016,391,56,120.0,4970,BU07580102,30.25
14,Biesdonk,2017,301,76,90.0,4995,BU07580102,29.640070921985817
15,Biesdonk,2018,313,70,70.0,5075,BU07580102,25.47222222222222
16,Blauwe Kei,2014,195,43,80.0,3875,BU07580300,29.419753086419753
17,Blauwe Kei,2015,217,49,77.5,3905,BU07580300,36.31410256410256
18,Blauwe Kei,2016,212,55,70.0,3935,BU07580300,31.220064724919094
19,Blauwe Kei,2017,161,90,70.0,3935,BU07580300,25.886574074074073
20,Blauwe Kei,2018,123,47,70.0,3940,BU07580300,23.543659832953683
21,Boeimeer,2014,390,89,110.0,5835,BU07580400,31.395299145299145
22,Boeimeer,2015,327,133,122.5,5895,BU07580400,32.62027491408935
23,Boeimeer,2016,387,154,100.0,5880,BU07580400,29.16873706004141
24,Boeimeer,2017,282,77,90.0,5795,BU07580400,31.881036513545347
25,Boeimeer,2018,230,135,90.0,5780,BU07580400,26.08511269276394
26,Brabantpark,2014,611,215,290.0,10080,BU07580200,28.77596618357488
27,Brabantpark,2015,581,208,260.0,10030,BU07580200,23.214444444444446
28,Brabantpark,2016,511,227,220.0,10170,BU07580200,27.680494905385736
29,Brabantpark,2017,445,255,190.0,10030,BU07580200,27.238888888888887
30,Brabantpark,2018,423,195,160.0,10095,BU07580200,26.160919540229884
31,Buitengebied Bavel,2016,45,7,10.0,475,BU07580709,42.111111111111114
32,Buitengebied Bavel,2017,52,7,10.0,485,BU07580709,38.954802259887
33,Buitengebied Bavel,2018,40,10,0.0,510,BU07580709,33.679597701149426
34,Buitengebied Prinsenbeek,2014,45,5,10.0,830,BU07580909,40.61862396204033
35,Buitengebied Prinsenbeek,2016,37,10,10.0,845,BU07580909,37.145833333333336
36,Buitengebied Prinsenbeek,2017,30,3,10.0,845,BU07580909,38.31182795698925
37,Buitengebied Prinsenbeek,2018,34,4,0.0,850,BU07580909,36.687400318979265
38,Buitengebied Teteringen,2015,18,4,0.0,200,BU07581009,52.95238095238095
39,Buitengebied Teteringen,2016,11,2,0.0,205,BU07581009,37.891304347826086
40,Buitengebied Teteringen,2018,13,2,0.0,190,BU07581009,32.08108108108108
41,Buitengebied Ulvenhout,2014,28,6,0.0,235,BU07580809,54.666666666666664
42,Buitengebied Ulvenhout,2015,24,3,2.5,240,BU07580809,46.85028248587571
43,Buitengebied Ulvenhout,2016,33,5,0.0,250,BU07580809,31.635416666666668
44,Buitengebied Ulvenhout,2017,32,10,10.0,275,BU07580809,43.45505617977528
45,Buitengebied Ulvenhout,2018,50,14,0.0,290,BU07580809,40.10576923076923
46,City,2014,1833,254,60.0,2365,BU07580006,10.914285714285715
47,City,2015,1694,354,47.5,2390,BU07580006,9.011111111111111
48,City,2016,1483,379,50.0,2415,BU07580006,8.5
49,City,2017,1288,279,50.0,2530,BU07580006,8.423076923076923
50,City,2018,1042,217,30.0,2480,BU07580006,8.616228070175438
51,Doornbos-Linie,2014,264,129,120.0,4295,BU07580101,25.881789137380192
52,Doornbos-Linie,2015,288,124,120.0,4345,BU07580101,30.138257575757574
53,Doornbos-Linie,2016,280,138,90.0,4345,BU07580101,27.550228310502284
