"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Breda";"2019 december";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    2630";"    4480";"    6250";"   31540";"       2";"       3";"       4";"      20";"  155610";"  123990";"   31620"
"Breda Centrum";"2019 december";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     250";"     500";"     570";"    2020";"       2";"       4";"       4";"      14";"   14200";"   12170";"    2020"
"Valkenberg";"2019 december";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      30";"      50";"      70";"     350";"       2";"       3";"       4";"      18";"    1890";"    1540";"     350"
"Chassé";"2019 december";"Breda                                   ";"Buurt   ";"BU07580002";"       1";"      50";"      50";"     100";"     710";"       2";"       2";"       3";"      24";"    3000";"    2290";"     710"
"Fellenoord";"2019 december";"Breda                                   ";"Buurt   ";"BU07580003";"       1";"      30";"     120";"     110";"     140";"       2";"       9";"       7";"      10";"    1430";"    1290";"     140"
"Schorsmolen";"2019 december";"Breda                                   ";"Buurt   ";"BU07580004";"       1";"      60";"     170";"     170";"     460";"       2";"       5";"       5";"      14";"    3310";"    2850";"     460"
"Station";"2019 december";"Breda                                   ";"Buurt   ";"BU07580005";"       1";"      40";"      70";"      70";"     130";"       2";"       4";"       4";"       6";"    2080";"    1950";"     130"
"City";"2019 december";"Breda                                   ";"Buurt   ";"BU07580006";"       1";"      40";"      30";"      60";"     230";"       2";"       1";"       3";"       9";"    2490";"    2260";"     230"
"Breda Noord";"2019 december";"Breda                                   ";"Wijk    ";"WK075801  ";"       3";"     390";"    1290";"    1160";"    3780";"       2";"       6";"       5";"      18";"   21240";"   17450";"    3790"
"Belcrum";"2019 december";"Breda                                   ";"Buurt   ";"BU07580100";"       1";"      50";"      60";"     110";"     400";"       1";"       2";"       3";"      12";"    3290";"    2890";"     400"
"Doornbos-Linie";"2019 december";"Breda                                   ";"Buurt   ";"BU07580101";"       1";"      60";"     250";"     210";"     540";"       2";"       7";"       6";"      14";"    3750";"    3210";"     540"
