"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Totaal";"2018 december";"                                        ";"        ";"NL00      ";"";"  254480";"  432460";"  747230";" 3444450";"";"";"";"";"";"";""
"Nederland";"2018 december";"                                        ";"        ";"NL01      ";"";"  248660";"  432250";"  722930";" 3099270";"       2";"       3";"       5";"      21";"14539770";"11430180";" 3109590"
"Buitenland";"2018 december";"                                        ";"        ";"NL98      ";"";"    5820";"     210";"   24290";"  345180";"";"";"";"";"";"";""
"'s-Gravenhage";"2018 december";"'s-Gravenhage                           ";"Gemeente";"GM0518    ";"       .";"    8560";"   25380";"   22740";"   72440";"       2";"       6";"       5";"      16";"  445020";"  372050";"   72970"
"Wijk 01 Oostduinen";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051801  ";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"Oostduinen";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180170";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"Wijk 02 Belgisch Park";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051802  ";"       1";"     110";"     140";"     210";"    1570";"       2";"       2";"       3";"      22";"    7020";"    5440";"    1580"
"Belgisch Park";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180271";"       1";"     110";"     140";"     210";"    1570";"       2";"       2";"       3";"      22";"    7020";"    5440";"    1580"
"Wijk 03 Westbroekpark en Duttendel";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051803  ";"       1";"      10";"      10";"      40";"     780";"       1";"       1";"       2";"      44";"    1760";"     980";"     780"
"Westbroekpark";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180373";"       1";"       0";"      10";"      20";"     420";"       0";"       1";"       2";"      50";"     830";"     410";"     420"
"Duttendel";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180374";"       1";"      10";"      10";"      20";"     360";"       1";"       1";"       2";"      39";"     930";"     570";"     360"
"Wijk 04 Benoordenhout";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051804  ";"       1";"     130";"      60";"     140";"    3500";"       1";"       1";"       1";"      31";"   11320";"    7780";"    3540"
"Nassaubuurt";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180448";"       1";"      20";"      10";"      20";"     310";"       1";"       1";"       1";"      23";"    1310";"    1000";"     310"
"Uilennest";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180475";"       1";"      20";"       0";"      20";"     550";"       1";"       0";"       1";"      30";"    1810";"    1250";"     560"
"Duinzigt";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180476";"       1";"      20";"       0";"      20";"    1280";"       1";"       0";"       1";"      56";"    2300";"    1010";"    1290"
"Waalsdorp";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180477";"       1";"      50";"      30";"      40";"     710";"       2";"       1";"       1";"      24";"    3020";"    2300";"     720"
"Arendsdorp";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180478";"       1";"      10";"      10";"      10";"     340";"       1";"       1";"       1";"      31";"    1090";"     750";"     340"
"Van Hoytemastraat en omgeving";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180479";"       1";"      20";"      10";"      30";"     320";"       1";"       0";"       2";"      18";"    1800";"    1480";"     320"
"Wijk 05 Archipelbuurt";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051805  ";"       1";"      70";"      80";"     130";"    1250";"       1";"       2";"       2";"      24";"    5320";"    4050";"    1270"
"Archipelbuurt";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180546";"       1";"      70";"      80";"     130";"    1250";"       1";"       2";"       2";"      24";"    5320";"    4050";"    1270"
"Wijk 06 Van Stolkpark en Scheveningse Bo";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051806  ";"       1";"       0";"       0";"      10";"     230";"       1";"       0";"       1";"      36";"     660";"     420";"     240"
"Van Stolkpark en Scheveningse Bosjes";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180605";"       1";"       0";"       0";"      10";"     230";"       1";"       0";"       1";"      36";"     660";"     420";"     240"
"Wijk 07 Scheveningen";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051807  ";"       1";"     250";"     610";"     680";"    3300";"       2";"       4";"       5";"      22";"   15160";"   11840";"    3320"
"Oud Scheveningen";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180701";"       1";"      40";"     120";"     160";"     490";"       2";"       5";"       6";"      20";"    2520";"    2030";"     500"
"Vissershaven";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180702";"       1";"      50";"     180";"     140";"     760";"       2";"       6";"       5";"      24";"    3230";"    2470";"     770"
"Scheveningen Badplaats";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180703";"       1";"      80";"     110";"     150";"     850";"       2";"       2";"       3";"      18";"    4720";"    3860";"     860"
"Visserijbuurt";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180704";"       1";"      50";"     170";"     180";"     810";"       2";"       5";"       5";"      25";"    3300";"    2480";"     820"
"Rijslag";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180772";"       1";"      20";"      30";"      40";"     380";"       1";"       2";"       3";"      27";"    1390";"    1010";"     380"
"Wijk 08 Duindorp";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051808  ";"       1";"     110";"     290";"     310";"     810";"       2";"       6";"       6";"      17";"    4780";"    3970";"     810"
"Duindorp";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180800";"       1";"     110";"     290";"     310";"     810";"       2";"       6";"       6";"      17";"    4780";"    3970";"     810"
"Wijk 09 Geuzen- en Statenkwartier";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051809  ";"       1";"     160";"     200";"     290";"    2400";"       1";"       2";"       3";"      21";"   11490";"    9070";"    2420"
"Statenkwartier";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180907";"       1";"     110";"     110";"     140";"    1600";"       1";"       1";"       2";"      20";"    7970";"    6350";"    1620"
"Geuzenkwartier";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05180908";"       1";"      50";"      90";"     150";"     800";"       1";"       2";"       4";"      23";"    3520";"    2720";"     800"
"Wijk 10 Zorgvliet";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051810  ";"       1";"       0";"       0";"      10";"     170";"       0";"       0";"       2";"      37";"     460";"     290";"     180"
"Zorgvliet";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05181041";"       1";"       0";"       0";"      10";"     170";"       0";"       0";"       2";"      37";"     460";"     290";"     180"
"Wijk 11 Duinoord";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051811  ";"       1";"     100";"      80";"     160";"    1020";"       2";"       1";"       3";"      16";"    6570";"    5540";"    1030"
"Stadhoudersplantsoen";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05181142";"       1";"      20";"      20";"      50";"     400";"       1";"       1";"       3";"      23";"    1720";"    1320";"     400"
"Sweelinckplein en omgeving";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05181143";"       1";"      80";"      60";"     120";"     620";"       2";"       1";"       2";"      13";"    4850";"    4220";"     630"
"Wijk 12 Bomen- en Bloemenbuurt";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051812  ";"       1";"     210";"     140";"     380";"    2870";"       2";"       1";"       3";"      23";"   12380";"    9500";"    2880"
"Bloemenbuurt-West";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05181250";"       1";"      30";"      10";"      50";"     560";"       2";"       0";"       2";"      29";"    1950";"    1390";"     560"
"Bloemenbuurt-Oost";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05181251";"       1";"     100";"      60";"     170";"    1210";"       2";"       1";"       3";"      22";"    5440";"    4230";"    1210"
"Bomenbuurt";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05181252";"       1";"      80";"      70";"     160";"    1110";"       2";"       2";"       3";"      22";"    4990";"    3880";"    1110"
"Wijk 13 Vogelwijk";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051813  ";"       1";"      50";"       0";"      50";"    1010";"       1";"       0";"       1";"      24";"    4190";"    3170";"    1010"
"Vogelwijk";"2018 december";"'s-Gravenhage                           ";"Buurt   ";"BU05181309";"       1";"      50";"       0";"      50";"    1010";"       1";"       0";"       1";"      24";"    4190";"    3170";"    1010"
"Wijk 14 Bohemen en Meer en Bos";"2018 december";"'s-Gravenhage                           ";"Wijk    ";"WK051814  ";"       1";"      50";"      60";"     170";"    1740";"       1";"       1";"       4";"      40";"    4360";"    2610";"    1750"
