Key;Title
NL00      ;Nederland
GM1680    ;Aa en Hunze
WK168000  ;Wijk 00 Annen
BU16800000;Annen
BU16800009;Verspreide huizen Annen
WK168001  ;Wijk 01 Eext
BU16800100;Eext
BU16800109;Verspreide huizen Eext
WK168002  ;Wijk 02 Anloo
BU16800200;Anloo
BU16800209;Verspreide huizen Anloo
WK168003  ;Wijk 03 Gasteren
BU16800300;Gasteren
BU16800309;Verspreide huizen Gasteren
WK168004  ;Wijk 04 Anderen
BU16800400;Anderen
BU16800409;Verspreide huizen Anderen
WK168005  ;Wijk 05 Schipborg
BU16800500;Schipborg
BU16800509;Verspreide huizen Schipborg
WK168006  ;Wijk 06 Eexterveen
BU16800600;Eexterveen
BU16800609;Verspreide huizen Eexterveen
WK168007  ;Wijk 07 Spijkerboor
BU16800700;Spijkerboor
BU16800709;Verspreide huizen Spijkerboor
WK168008  ;Wijk 08 Nieuw-Annerveen
BU16800800;Nieuw-Annerveen
BU16800809;Verspreide huizen Nieuw-Annerveen
WK168009  ;Wijk 09 Oud-Annerveen
BU16800900;Oud-Annerveen
BU16800909;Verspreide huizen Oud-Annerveen
WK168011  ;Wijk 11 Annerveenschekanaal
BU16801100;Annerveenschekanaal
BU16801109;Verspreide huizen Annerveenschekanaal
WK168012  ;Wijk 12 Eexterveenschekanaal
BU16801200;Eexterveenschekanaal
BU16801209;Verspreide huizen Eexterveenschekanaal
WK168013  ;Wijk 13 Eexterzandvoort
BU16801300;Eexterzandvoort
BU16801309;Verspreide huizen Eexterzandvoort
WK168014  ;Wijk 14 Gasselte
BU16801400;Gasselte
BU16801401;Kostvlies
BU16801409;Verspreide huizen Gasselte
WK168015  ;Wijk 15 Gasselternijveen
BU16801500;Gasselternijveen
BU16801501;Gasselterboerveen
BU16801509;Verspreide huizen Gasselternijveen
WK168016  ;Wijk 16 Gasselternijveenschemond
BU16801600;Gasselternijveenschemond
BU16801601;Gasselterboerveenschemond
BU16801609;Verspr.h. Gasselternijveenschemond
WK168017  ;Wijk 17 Gieten
BU16801700;Gieten
BU16801709;Verspreide huizen Gieten
WK168018  ;Wijk 18 Gieterveen
BU16801800;Gieterveen
BU16801801;Bonnerveen
BU16801802;Nieuwediep
BU16801809;Verspreide huizen Gieterveen
WK168019  ;Wijk 19 Rolde
BU16801900;Rolde
BU16801901;Ballo
BU16801902;Nijlande
BU16801903;Deurze
BU16801908;Verspreide huizen Nooitgedacht
BU16801909;Verspreide huizen Rolde
WK168020  ;Wijk 20 Grolloo
BU16802000;Grolloo
BU16802001;Schoonloo
BU16802008;Verspreide huizen Papenvoort
BU16802009;Verspreide huizen Grolloo
WK168021  ;Wijk 21 Ekehaar
BU16802100;Ekehaar
BU16802101;Amen
BU16802109;Verspreide huizen Ekehaar
GM0358    ;Aalsmeer
WK035800  ;Wijk 00 Aalsmeer
BU03580000;Centrum
BU03580001;Stommeer
BU03580004;Hornmeer
BU03580005;Uiterweg
WK035801  ;Wijk 01 Kudelstraat en Kalslagen
BU03580100;Kudelstaart
WK035802  ;Wijk 02 Oosteinde
BU03580200;Bovenlanden
BU03580201;Greenpark
BU03580205;Oosteinde
BU03580206;Schinkelpolder
GM0197    ;Aalten
WK019701  ;Wijk 01 Buitengebied Aalten
BU01970101;Barlo-Kern
BU01970102;Verspreide huizen Barlo
BU01970103;Verspreide huizen Heurne
BU01970104;Verspreide huizen IJzerlo
BU01970105;IJzerlo-kern
BU01970106;Lintelo-kern
BU01970107;Verspreide huizen ten westen van Aalten
BU01970108;Verspreide huizen Lintelo
BU01970109;Verspreide huizen Dalese Veld
BU01970110;Verspreide huizen Dale
BU01970111;Verspreide huizen Haart
BU01970112;Haart-kern
WK019702  ;Wijk 02 Bredevoort
BU01970201;Verspreide huizen Bredevoort
BU01970202;Verspreide huizen Hollenberg
BU01970203;Verspreide huizen Het Zwanenbroek
BU01970204;Bredevoort
WK019703  ;Wijk 03 Aalten Kern
BU01970301;Aalten-kern West
BU01970302;Aalten-kern Zuid 1
BU01970303;Aalten-kern Zuid 2
BU01970304;Aalten-kern Noord/Noordoost
BU01970305;Aalten Kern 't Kobus
BU01970306;Aalten-kern Oost
BU01970307;Aalten-kern Centrum
WK019704  ;Wijk 04 Dinxperlo
BU01970400;Dinxperlo Centrum/Oost
BU01970401;Dinxperlo Noord
BU01970402;Dinxperlo West
BU01970403;De Heurne-kern
BU01970408;Verspreide huizen Dinxperlo
BU01970409;Verspreide huizen De Heurne
