,Neighbourhood,Year,Total crimes,Total nuisances,Unemployment,Population
0,Bavel,2013,522,62,117.5,5300
1,Bavel,2013,522,39,117.5,5300
2,Bavel,2014,439,76,120.0,5265
3,Bavel,2014,439,33,120.0,5265
4,Bavel,2015,434,78,136.25,5320
5,Bavel,2015,434,38,136.25,5320
6,Bavel,2016,427,71,130.0,5360
7,Bavel,2016,427,36,130.0,5360
8,Bavel,2017,350,66,110.0,5380
9,Bavel,2017,350,31,110.0,5380
10,Bavel,2018,334,54,105.0,5460
11,Bavel,2018,334,28,105.0,5460
12,Bavel,2019,294,59,90.0,5435
13,Bavel,2019,294,45,90.0,5435
14,Bavel,2020,352,93,85.0,5395
15,Bavel,2020,352,52,85.0,5395
16,Bavel,2021,378,129,65.0,5395
17,Bavel,2021,378,98,65.0,5395
18,Bavel,2022,366,81,60.0,5445
19,Bavel,2022,366,48,60.0,5445
20,Belcrum,2013,234,69,85.0,3440
21,Belcrum,2014,283,57,70.0,3485
22,Belcrum,2015,313,96,77.5,3485
23,Belcrum,2016,378,106,70.0,3605
24,Belcrum,2017,300,135,60.0,3950
25,Belcrum,2018,317,122,60.0,3990
26,Belcrum,2019,329,124,50.0,3990
27,Belcrum,2020,347,161,60.0,4075
28,Belcrum,2021,330,187,40.0,4000
29,Belcrum,2022,385,173,30.0,4005
30,Biesdonk,2013,402,111,162.5,4975
31,Biesdonk,2014,417,62,140.0,5005
32,Biesdonk,2015,471,82,142.5,4985
33,Biesdonk,2016,391,56,120.0,4970
34,Biesdonk,2017,301,76,90.0,4995
35,Biesdonk,2018,313,70,70.0,5075
36,Biesdonk,2019,339,104,90.0,5055
37,Biesdonk,2020,424,150,90.0,5030
38,Biesdonk,2021,376,88,50.0,4945
39,Biesdonk,2022,408,123,50.0,4895
40,Blauwe Kei,2013,211,28,85.0,3845
41,Blauwe Kei,2014,195,43,80.0,3875
42,Blauwe Kei,2015,217,49,77.5,3905
43,Blauwe Kei,2016,212,55,70.0,3935
44,Blauwe Kei,2017,161,90,70.0,3935
45,Blauwe Kei,2018,123,47,70.0,3940
46,Blauwe Kei,2019,154,47,60.0,3890
47,Blauwe Kei,2020,149,62,50.0,3855
48,Blauwe Kei,2021,144,53,40.0,3820
49,Blauwe Kei,2022,124,83,30.0,3835
50,Boeimeer,2013,456,83,130.0,5790
51,Boeimeer,2014,390,89,110.0,5835
52,Boeimeer,2015,327,133,122.5,5895
53,Boeimeer,2016,387,154,100.0,5880
54,Boeimeer,2017,282,77,90.0,5795
55,Boeimeer,2018,230,135,90.0,5780
56,Boeimeer,2019,249,58,90.0,5775
57,Boeimeer,2020,288,160,100.0,5735
58,Boeimeer,2021,238,184,60.0,5695
59,Boeimeer,2022,241,147,50.0,5790
60,Brabantpark,2013,618,164,262.5,10045
61,Brabantpark,2014,611,215,290.0,10080
