"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"2013 maart";"Breda";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    4140";"    4390";"    6340";"   29250";"       3";"       3";"       4";"      20";"  148520";"  119220";"   29300"
"2013 juni";"Breda";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    4270";"    4470";"    6280";"   29470";"       3";"       3";"       4";"      20";"  148810";"  119290";"   29520"
"2013 september";"Breda";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    4380";"    4570";"    6310";"   29700";"       3";"       3";"       4";"      20";"  149740";"  119990";"   29750"
"2013 december";"Breda";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    4780";"    4700";"    6290";"   29950";"       3";"       3";"       4";"      20";"  149850";"  119880";"   29970"
"2013 maart";"Wijk 00 Breda Centrum";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     360";"     460";"     570";"    1820";"       3";"       4";"       4";"      14";"   13130";"   11310";"    1830"
"2013 juni";"Wijk 00 Breda Centrum";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     340";"     470";"     560";"    1830";"       3";"       4";"       4";"      14";"   13280";"   11450";"    1830"
"2013 september";"Wijk 00 Breda Centrum";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     380";"     480";"     560";"    1830";"       3";"       4";"       4";"      14";"   13600";"   11770";"    1840"
"2013 december";"Wijk 00 Breda Centrum";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     390";"     520";"     560";"    1840";"       3";"       4";"       4";"      14";"   13550";"   11710";"    1840"
"2013 maart";"Valkenberg";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      40";"      60";"      60";"     310";"       2";"       4";"       4";"      18";"    1770";"    1460";"     310"
"2013 juni";"Valkenberg";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      40";"      60";"      60";"     320";"       2";"       4";"       4";"      18";"    1770";"    1450";"     320"
"2013 september";"Valkenberg";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      50";"      60";"      70";"     320";"       3";"       3";"       4";"      17";"    1830";"    1510";"     320"
