"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Totaal";"2019 december";"                                        ";"        ";"NL00      ";"";"  221610";"  414620";"  752440";" 3452950";"";"";"";"";"";"";""
"Nederland";"2019 december";"                                        ";"        ";"NL01      ";"";"  218270";"  414440";"  727660";" 3111050";"       2";"       3";"       5";"      21";"14678960";"11557680";" 3121280"
"Buitenland";"2019 december";"                                        ";"        ";"NL98      ";"";"    3340";"     170";"   24780";"  341900";"";"";"";"";"";"";""
"Amsterdam";"2019 december";"Amsterdam                               ";"Gemeente";"GM0363    ";"       .";"   12780";"   38950";"   32920";"   99850";"       2";"       5";"       4";"      13";"  746790";"  646180";"  100610"
"Kop Zeedijk";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03630000";"       1";"      20";"      20";"      30";"      70";"       1";"       2";"       2";"       6";"    1050";"     980";"      70"
"Stationsplein e.o.";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03630100";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"Nieuwendijk Noord";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03630102";"       1";"      10";"      10";"      10";"      20";"       1";"       3";"       2";"       4";"     440";"     430";"      20"
"Nieuwe Kerk e.o.";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03630104";"       1";"      20";"      10";"      10";"      40";"       2";"       1";"       1";"       5";"     770";"     730";"      40"
"Grachtengordel-West";"2019 december";"Amsterdam                               ";"Wijk    ";"WK036302  ";"       1";"      60";"      40";"      70";"     980";"       1";"       1";"       1";"      16";"    5960";"    4950";"    1010"
"Leidsegracht Noord";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03630203";"       1";"      10";"       0";"      10";"     110";"       1";"       1";"       1";"      17";"     640";"     530";"     110"
"Grachtengordel-Zuid";"2019 december";"Amsterdam                               ";"Wijk    ";"WK036303  ";"       1";"      50";"      40";"      60";"     720";"       1";"       1";"       1";"      15";"    4970";"    4230";"     740"
"Spiegelbuurt";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03630300";"       1";"      10";"      10";"      10";"     100";"       1";"       1";"       1";"      13";"     740";"     640";"     100"
"Rembrandtpleinbuurt";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03630304";"       1";"      10";"      10";"      10";"      40";"       2";"       1";"       2";"       8";"     460";"     430";"      40"
"Reguliersbuurt";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03630305";"       1";"       0";"      10";"       0";"      10";"       1";"       2";"       1";"       2";"     370";"     360";"      10"
"Oosterdokseiland";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03630400";"       1";"       0";"      10";"      10";"      50";"       1";"       2";"       3";"      11";"     420";"     370";"      50"
"Waterloopleinbuurt";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03630408";"       1";"      10";"      30";"      30";"     140";"       2";"       3";"       4";"      18";"     790";"     650";"     140"
"Planciusbuurt Noord";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03630505";"       1";"      10";"      20";"      20";"      30";"       2";"       5";"       5";"       9";"     330";"     300";"      30"
"Planciusbuurt Zuid";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03630506";"       1";"      10";"      20";"      20";"      20";"       4";"      12";"      10";"      13";"     160";"     140";"      20"
