;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Valkenberg;1670;1750;1835;1920;1920;1900;1905;2065;2180;1990;1960;1990;1990;2000;2005
Chassé;2830;3015;3015;3065;3160;3245;3290;3195;3230;3195;3225;3230;3260;3360;3365
Fellenoord;1430;1410;1475;1385;1460;1485;1545;1550;1545;1570;1590;1590;1585;1565;1565
Schorsmolen;2905;2915;2970;3100;3145;3210;3240;3265;3375;3380;3400;3360;3420;3400;3450
Station;1135;1410;1380;1605;1750;1835;2080;2085;2130;2235;2300;2325;2295;2285;2310
City;1970;2145;2210;2260;2260;2280;2365;2390;2415;2530;2480;2475;2565;2555;2575
Belcrum;3395;3320;3365;3365;3415;3440;3485;3485;3605;3950;3990;3990;4075;4000;4005
Doornbos-Linie;4000;3980;3975;3975;4375;4415;4295;4345;4345;4385;4365;4390;4300;4350;4435
Biesdonk;5065;4930;4940;4940;4940;4975;5005;4985;4970;4995;5075;5055;5030;4945;4895
Geeren-zuid;3550;3420;3385;3395;3350;3385;3665;3965;3785;3880;3880;3710;3765;3760;3720
Wisselaar;4290;4180;4355;4100;4215;4290;4210;4210;4200;4190;4210;4250;4265;4235;4230
Krogten;235;230;235;220;225;215;205;205;200;205;185;190;200;190;190
Geeren-noord;2980;2920;2695;2705;2745;2645;2705;2705;2760;2750;2740;2730;2705;2685;2695
Waterdonken;95;0;100;365;660;915;1020;1070;1110;1195;1225;1345;1335;1310;1290
Brabantpark;9515;9220;9430;9800;10015;10045;10080;10030;10170;10030;10095;10150;10265;10270;10560
Sportpark;3300;3280;3345;3360;3365;3410;3455;3455;3455;3510;3515;3515;3530;3500;3435
Zandberg;5075;5110;5170;5190;5275;5275;5285;5305;5300;5220;5185;5180;5165;5155;5135
Heusdenhout;5205;5205;5320;5205;5155;5085;5175;5180;5160;5160;5205;5205;5155;5145;5160
Moleneind-oost;70;70;70;70;70;65;65;60;60;60;60;65;70;65;60
Hoogeind;40;40;40;40;50;50;50;55;55;50;50;50;50;55;45
Blauwe Kei;3740;3755;3750;3785;3785;3845;3875;3905;3935;3935;3940;3890;3855;3820;3835
Ypelaar;5545;5565;5470;5565;5570;5830;5820;5840;5805;5820;5855;5980;5925;5990;5955
Overakker;2955;2945;2885;3010;2965;2980;2955;3000;3050;3190;3215;3265;3285;3310;3295
Ginneken;5160;5105;5240;5160;5200;5200;5205;5340;5370;5365;5345;5350;5455;5435;5440
Mastbos;520;580;510;515;490;475;535;525;535;520;525;525;605;755;780
Boeimeer;5485;5580;5695;5740;5730;5790;5835;5895;5880;5795;5780;5775;5735;5695;5790
Ruitersbos;2350;2360;2415;2385;2370;2380;2390;2400;2465;2475;2480;2530;2510;2515;2485
Haagpoort;2115;2095;2085;2080;2090;2175;2150;2175;2200;2175;2170;2130;2130;2140;2165
Heuvel;6320;6610;6845;6995;7370;7640;7830;8125;7985;8015;7950;7715;7530;7475;7490
Tuinzigt;6455;6545;6585;6615;6665;6885;7120;7185;7215;7375;7580;7595;7545;7645;7650
Princenhage;8145;8135;8325;8330;8350;8380;8435;8405;8535;8540;8815;8795;8830;8825;8845
Westerpark;3475;3495;3540;3575;3560;3600;3555;3585;3555;3560;3555;3510;3525;3490;3430
Heilaar;305;320;320;315;325;330;325;340;340;355;385;420;445;455;570
Hazeldonk;40;40;40;45;35;35;40;40;40;40;40;45;55;50;50
Steenakker;240;260;270;275;275;275;280;270;265;255;470;495;495;480;480
Effen-Rith;835;860;870;860;855;850;840;830;815;810;825;830;845;875;875
Liesbos;705;710;705;700;705;705;720;650;655;685;700;710;725;745;760
Gageldonk;5115;4985;4955;4940;4900;4845;4855;4860;4865;4785;4780;4710;4735;4650;4620
Kievitsloop;4540;4505;4460;4425;4410;4395;4395;4395;4395;4350;4245;4225;4225;4185;4145
Kesteren;3995;3950;3980;3865;3885;3905;3840;3850;3865;3865;3910;3840;3795;3790;3750
Muizenberg;3210;3190;3165;3160;3165;3125;3100;3090;3030;3020;2995;2950;2970;2915;2860
Heksenwiel;4795;4845;4830;4805;4765;4715;4700;4725;4665;4630;4600;4555;4490;4415;4370
Overkroeten;3490;3460;3455;3455;3420;3365;3340;3330;3330;3270;3210;3210;3155;3155;3125
Kroeten;2340;2315;2325;2375;2355;2355;2350;2320;2355;2320;2330;2320;2330;2315;2270
Emer;70;90;90;85;80;95;90;65;75;65;70;70;75;75;75
Hagebeemd;120;160;185;205;195;195;200;205;215;210;205;210;210;205;215
Bavel;5430;5380;5380;5375;5300;5300;5265;5320;5360;5380;5460;5435;5395;5395;5445
Nieuw Wolfslaar;2070;2150;2210;2210;2240;2230;2340;2360;2375;2380;2355;2390;2385;2375;2365
Buitengebied Bavel;400;400;430;500;525;530;505;495;475;485;510;515;550;565;570
Ulvenhout;4410;4440;4440;4435;4455;4450;4485;4480;4520;4515;4630;4700;4735;4725;4740
Buitengebied Ulvenhout;280;250;240;235;235;240;235;240;250;275;290;310;295;270;295
Prinsenbeek;10635;10650;10610;10650;10665;10705;10705;10665;10720;10765;10860;10980;11035;11255;11350
Buitengebied Prinsenbeek;835;850;875;860;850;840;830;825;845;845;850;870;875;885;900
Teteringen;5940;6525;6570;6725;6765;7005;7045;7230;7220;7390;7430;7785;7960;8120;8285
Vuchtpolder;15;105;105;100;100;95;90;90;90;90;100;95;105;110;105
Buitengebied Teteringen;130;150;150;175;200;195;210;200;205;200;190;180;180;160;165
