"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Breda";"2021 december*";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    2140";"    4510";"    6310";"   32410";"       1";"       3";"       4";"      21";"  156750";"  124250";"   32500"
"Breda centrum";"2021 december*";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     240";"     500";"     590";"    2040";"       2";"       3";"       4";"      14";"   14410";"   12370";"    2050"
"Valkenberg";"2021 december*";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      30";"      50";"      70";"     330";"       1";"       3";"       3";"      17";"    1910";"    1580";"     330"
"Chassé";"2021 december*";"Breda                                   ";"Buurt   ";"BU07580002";"       1";"      40";"      50";"      90";"     710";"       1";"       2";"       3";"      23";"    3130";"    2420";"     710"
"Fellenoord";"2021 december*";"Breda                                   ";"Buurt   ";"BU07580003";"       1";"      20";"     110";"     100";"     150";"       1";"       8";"       7";"      11";"    1410";"    1260";"     150"
"Schorsmolen";"2021 december*";"Breda                                   ";"Buurt   ";"BU07580004";"       1";"      80";"     180";"     180";"     470";"       2";"       6";"       5";"      14";"    3330";"    2860";"     470"
"Station";"2021 december*";"Breda                                   ";"Buurt   ";"BU07580005";"       1";"      30";"      70";"      80";"     140";"       2";"       3";"       4";"       6";"    2110";"    1980";"     140"
"City";"2021 december*";"Breda                                   ";"Buurt   ";"BU07580006";"       1";"      40";"      30";"      60";"     240";"       2";"       1";"       3";"      10";"    2510";"    2270";"     240"
"Breda noord";"2021 december*";"Breda                                   ";"Wijk    ";"WK075801  ";"       1";"     320";"    1260";"    1140";"    3760";"       2";"       6";"       5";"      18";"   21300";"   17520";"    3780"
"Belcrum";"2021 december*";"Breda                                   ";"Buurt   ";"BU07580100";"       1";"      40";"      50";"     100";"     430";"       1";"       2";"       3";"      13";"    3260";"    2830";"     430"
"Doornbos-Linie";"2021 december*";"Breda                                   ";"Buurt   ";"BU07580101";"       1";"      60";"     220";"     210";"     550";"       2";"       6";"       6";"      14";"    3900";"    3350";"     550"
