"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)"
"2016 december";"'s-Gravenhage";"'s-Gravenhage (gemeente)                ";"   11550";"   27550";"   23000"
"2016 december";"Wijk 01 Oostduinen";"'s-Gravenhage (gemeente)                ";"       .";"       .";"       ."
"2016 december";"Oostduinen";"'s-Gravenhage (gemeente)                ";"       .";"       .";"       ."
"2016 december";"Wijk 02 Belgisch Park";"'s-Gravenhage (gemeente)                ";"     140";"     130";"     220"
"2016 december";"Belgisch Park";"'s-Gravenhage (gemeente)                ";"     140";"     130";"     220"
"2016 december";"Wijk 03 Westbroekpark en Duttendel";"'s-Gravenhage (gemeente)                ";"      20";"      10";"      30"
"2016 december";"Westbroekpark";"'s-Gravenhage (gemeente)                ";"      10";"      10";"      20"
"2016 december";"Duttendel";"'s-Gravenhage (gemeente)                ";"      10";"      10";"      20"
"2016 december";"Wijk 04 Benoordenhout";"'s-Gravenhage (gemeente)                ";"     140";"      60";"     150"
"2016 december";"Nassaubuurt";"'s-Gravenhage (gemeente)                ";"      10";"      10";"      20"
"2016 december";"Uilennest";"'s-Gravenhage (gemeente)                ";"      40";"       0";"      30"
"2016 december";"Duinzigt";"'s-Gravenhage (gemeente)                ";"      20";"      10";"      20"
"2016 december";"Waalsdorp";"'s-Gravenhage (gemeente)                ";"      40";"      30";"      30"
"2016 december";"Arendsdorp";"'s-Gravenhage (gemeente)                ";"      20";"      10";"      10"
"2016 december";"Van Hoytemastraat en omgeving";"'s-Gravenhage (gemeente)                ";"      20";"      10";"      30"
"2016 december";"Wijk 05 Archipelbuurt";"'s-Gravenhage (gemeente)                ";"      80";"      90";"     120"
"2016 december";"Archipelbuurt";"'s-Gravenhage (gemeente)                ";"      80";"      90";"     120"
"2016 december";"Wijk 06 Van Stolkpark en Scheveningse Bo";"'s-Gravenhage (gemeente)                ";"      10";"       0";"      10"
"2016 december";"Van Stolkpark en Scheveningse Bosjes";"'s-Gravenhage (gemeente)                ";"      10";"       0";"      10"
"2016 december";"Wijk 07 Scheveningen";"'s-Gravenhage (gemeente)                ";"     330";"     620";"     650"
"2016 december";"Oud Scheveningen";"'s-Gravenhage (gemeente)                ";"      60";"     120";"     160"
"2016 december";"Vissershaven";"'s-Gravenhage (gemeente)                ";"      60";"     200";"     140"
"2016 december";"Scheveningen Badplaats";"'s-Gravenhage (gemeente)                ";"     110";"     110";"     160"
"2016 december";"Visserijbuurt";"'s-Gravenhage (gemeente)                ";"      60";"     160";"     150"
"2016 december";"Rijslag";"'s-Gravenhage (gemeente)                ";"      40";"      30";"      40"
"2016 december";"Wijk 08 Duindorp";"'s-Gravenhage (gemeente)                ";"     140";"     320";"     310"
"2016 december";"Duindorp";"'s-Gravenhage (gemeente)                ";"     140";"     320";"     310"
"2016 december";"Wijk 09 Geuzen- en Statenkwartier";"'s-Gravenhage (gemeente)                ";"     190";"     270";"     320"
"2016 december";"Statenkwartier";"'s-Gravenhage (gemeente)                ";"     130";"     140";"     160"
"2016 december";"Geuzenkwartier";"'s-Gravenhage (gemeente)                ";"      70";"     130";"     160"
"2016 december";"Wijk 10 Zorgvliet";"'s-Gravenhage (gemeente)                ";"      10";"       0";"      10"
"2016 december";"Zorgvliet";"'s-Gravenhage (gemeente)                ";"      10";"       0";"      10"
"2016 december";"Wijk 11 Duinoord";"'s-Gravenhage (gemeente)                ";"     120";"     110";"     180"
"2016 december";"Stadhoudersplantsoen";"'s-Gravenhage (gemeente)                ";"      30";"      20";"      50"
"2016 december";"Sweelinckplein en omgeving";"'s-Gravenhage (gemeente)                ";"     100";"      90";"     140"
"2016 december";"Wijk 12 Bomen- en Bloemenbuurt";"'s-Gravenhage (gemeente)                ";"     260";"     170";"     400"
"2016 december";"Bloemenbuurt-West";"'s-Gravenhage (gemeente)                ";"      40";"      10";"      50"
"2016 december";"Bloemenbuurt-Oost";"'s-Gravenhage (gemeente)                ";"     120";"      70";"     180"
"2016 december";"Bomenbuurt";"'s-Gravenhage (gemeente)                ";"     100";"      90";"     170"
"2016 december";"Wijk 13 Vogelwijk";"'s-Gravenhage (gemeente)                ";"      70";"      10";"      50"
"2016 december";"Vogelwijk";"'s-Gravenhage (gemeente)                ";"      70";"      10";"      50"
"2016 december";"Wijk 14 Bohemen en Meer en Bos";"'s-Gravenhage (gemeente)                ";"      90";"      60";"     170"
"2016 december";"Bosjes van Pex";"'s-Gravenhage (gemeente)                ";"      10";"       0";"      10"
"2016 december";"Bohemen en Meer en Bos";"'s-Gravenhage (gemeente)                ";"      80";"      60";"     160"
"2016 december";"Wijk 15 Kijkduin en Ockenburgh";"'s-Gravenhage (gemeente)                ";"      30";"      10";"     170"
"2016 december";"Ockenburgh";"'s-Gravenhage (gemeente)                ";"      10";"      10";"     140"
"2016 december";"Kijkduin";"'s-Gravenhage (gemeente)                ";"      30";"       0";"      30"
"2016 december";"Wijk 16 Kraayenstein en de Uithof";"'s-Gravenhage (gemeente)                ";"     100";"      50";"     360"
