"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Totaal";"2017 december";"                                        ";"        ";"NL00      ";"";"  307430";"  456820";"  757410";" 3421470";"";"";"";"";"";"";""
"Nederland";"2017 december";"                                        ";"        ";"NL01      ";"";"  300550";"  456530";"  731300";" 3075230";"       2";"       3";"       5";"      21";"14416070";"11330750";" 3085320"
"Buitenland";"2017 december";"                                        ";"        ";"NL98      ";"";"    6880";"     290";"   26120";"  346240";"";"";"";"";"";"";""
"'s-Gravenhage";"2017 december";"'s-Gravenhage (gemeente)                ";"Gemeente";"GM0518    ";"       .";"   10310";"   26860";"   23040";"   72050";"       2";"       6";"       5";"      16";"  439740";"  367140";"   72590"
"Wijk 01 Oostduinen";"2017 december";"'s-Gravenhage (gemeente)                ";"Wijk    ";"WK051801  ";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"Oostduinen";"2017 december";"'s-Gravenhage (gemeente)                ";"Buurt   ";"BU05180170";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"Wijk 02 Belgisch Park";"2017 december";"'s-Gravenhage (gemeente)                ";"Wijk    ";"WK051802  ";"       1";"     130";"     140";"     220";"    1570";"       2";"       2";"       3";"      23";"    6960";"    5380";"    1590"
"Belgisch Park";"2017 december";"'s-Gravenhage (gemeente)                ";"Buurt   ";"BU05180271";"       1";"     130";"     140";"     220";"    1570";"       2";"       2";"       3";"      23";"    6960";"    5380";"    1590"
"Wijk 03 Westbroekpark en Duttendel";"2017 december";"'s-Gravenhage (gemeente)                ";"Wijk    ";"WK051803  ";"       1";"      10";"      10";"      40";"     750";"       1";"       1";"       2";"      44";"    1710";"     950";"     750"
"Westbroekpark";"2017 december";"'s-Gravenhage (gemeente)                ";"Buurt   ";"BU05180373";"       1";"       0";"      10";"      20";"     380";"       0";"       1";"       2";"      49";"     780";"     390";"     390"
"Duttendel";"2017 december";"'s-Gravenhage (gemeente)                ";"Buurt   ";"BU05180374";"       1";"      10";"      10";"      20";"     360";"       1";"       1";"       2";"      39";"     920";"     560";"     370"
"Wijk 04 Benoordenhout";"2017 december";"'s-Gravenhage (gemeente)                ";"Wijk    ";"WK051804  ";"       1";"     160";"      60";"     140";"    3500";"       2";"       1";"       1";"      31";"   11170";"    7620";"    3550"
"Nassaubuurt";"2017 december";"'s-Gravenhage (gemeente)                ";"Buurt   ";"BU05180448";"       1";"      20";"      10";"      20";"     310";"       1";"       1";"       1";"      23";"    1320";"    1000";"     310"
"Uilennest";"2017 december";"'s-Gravenhage (gemeente)                ";"Buurt   ";"BU05180475";"       1";"      30";"       0";"      20";"     570";"       2";"       0";"       1";"      32";"    1800";"    1220";"     580"
"Duinzigt";"2017 december";"'s-Gravenhage (gemeente)                ";"Buurt   ";"BU05180476";"       1";"      20";"       0";"      20";"    1270";"       1";"       0";"       1";"      56";"    2270";"     980";"    1280"
