"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"2020 december";"Totaal";"                                        ";"  249770";"  428030";"  758440";" 3516180";"";"";"       .";"";"";"";""
"2020 december";"Nederland";"                                        ";"  246260";"  427830";"  733530";" 3170880";"       2";"       3";"       5";"      22";"14761100";"11579330";" 3181770"
"2020 december";"Buitenland";"                                        ";"    3510";"     200";"   24910";"  345300";"";"";"       .";"";"";"";""
"2020 december";"Aa en Hunze";"Aa en Hunze                             ";"     300";"     360";"    1080";"    6320";"       1";"       2";"       5";"      29";"   22020";"   15690";"    6330"
"2020 december";"Wijk 00 Annen";"Aa en Hunze                             ";"      40";"      30";"     110";"     880";"       1";"       1";"       4";"      29";"    3070";"    2200";"     880"
"2020 december";"Annen";"Aa en Hunze                             ";"      40";"      30";"     110";"     840";"       1";"       1";"       4";"      29";"    2930";"    2100";"     840"
"2020 december";"Verspreide huizen Annen";"Aa en Hunze                             ";"       0";"       0";"      10";"      40";"       1";"       2";"       4";"      30";"     140";"     100";"      40"
"2020 december";"Wijk 01 Eext";"Aa en Hunze                             ";"      20";"      20";"      40";"     290";"       2";"       2";"       4";"      23";"    1240";"     950";"     290"
"2020 december";"Eext";"Aa en Hunze                             ";"      20";"      20";"      40";"     240";"       2";"       2";"       3";"      22";"    1080";"     840";"     240"
"2020 december";"Verspreide huizen Eext";"Aa en Hunze                             ";"       0";"       0";"      10";"      50";"       2";"       1";"       5";"      31";"     160";"     110";"      50"
"2020 december";"Wijk 02 Anloo";"Aa en Hunze                             ";"      10";"      10";"      20";"      90";"       2";"       2";"       5";"      27";"     330";"     240";"      90"
"2020 december";"Anloo";"Aa en Hunze                             ";"      10";"      10";"      10";"      80";"       2";"       2";"       5";"      28";"     270";"     200";"      80"
