"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Totaal";"2022 september*";"                                        ";"        ";"NL00      ";;132440;396680;782860;3569220;;;;;;;
"Nederland";"2022 september*";"                                        ";"        ";"NL01      ";;130790;396530;756820;3230120;1;3;5;22;15051530;11806000;3245530
"Buitenland";"2022 september*";"                                        ";"        ";"NL98      ";;1640;150;26040;339100;;;;;;;
"Aa en Hunze";"2022 september*";"Aa en Hunze                             ";"Gemeente";"GM1680    ";1;160;330;1120;6450;1;2;5;29;22250;15790;6460
"Wijk 00 Annen";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168000  ";1;20;40;110;880;1;1;3;29;3060;2180;880
"Annen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800000";1;20;40;100;840;1;1;4;29;2920;2090;840
"Verspreide huizen Annen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800009";1;0;0;0;40;0;0;2;32;140;100;40
"Wijk 01 Eext";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168001  ";1;10;20;40;300;1;2;3;24;1260;960;300
"Eext";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800100";1;10;20;40;250;1;2;3;23;1090;840;250
"Verspreide huizen Eext";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800109";1;0;0;10;50;1;1;4;32;170;120;50
"Wijk 02 Anloo";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168002  ";1;0;10;20;90;1;3;5;25;340;260;90
"Anloo";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800200";1;0;10;10;80;0;3;5;27;280;210;80
"Verspreide huizen Anloo";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800209";1;0;0;0;10;2;2;5;16;60;50;10
"Wijk 03 Gasteren";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168003  ";1;0;0;10;110;1;1;3;30;370;260;110
