"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Breda";"2014 december";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    4610";"    4820";"    6320";"   30580";"       3";"       3";"       4";"      20";"  151180";"  120590";"   30600"
"Wijk 00 Breda Centrum";"2014 december";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     400";"     530";"     550";"    1850";"       3";"       4";"       4";"      14";"   13660";"   11810";"    1850"
"Valkenberg";"2014 december";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      60";"      60";"      70";"     330";"       3";"       3";"       4";"      17";"    1950";"    1620";"     330"
"Chassé";"2014 december";"Breda                                   ";"Buurt   ";"BU07580002";"       1";"      70";"      50";"      80";"     620";"       3";"       2";"       3";"      21";"    2930";"    2310";"     620"
"Fellenoord";"2014 december";"Breda                                   ";"Buurt   ";"BU07580003";"       1";"      40";"     120";"      90";"     150";"       3";"       8";"       7";"      11";"    1390";"    1250";"     150"
"Schorsmolen";"2014 december";"Breda                                   ";"Buurt   ";"BU07580004";"       1";"     110";"     180";"     170";"     470";"       3";"       6";"       5";"      15";"    3170";"    2700";"     470"
"Station";"2014 december";"Breda                                   ";"Buurt   ";"BU07580005";"       1";"      60";"      80";"      70";"     110";"       3";"       4";"       4";"       6";"    1900";"    1790";"     110"
"City";"2014 december";"Breda                                   ";"Buurt   ";"BU07580006";"       1";"      60";"      40";"      70";"     180";"       3";"       2";"       3";"       8";"    2330";"    2140";"     180"
"Wijk 01 Breda Noord";"2014 december";"Breda                                   ";"Wijk    ";"WK075801  ";"       1";"     680";"    1380";"    1130";"    3910";"       3";"       7";"       6";"      19";"   20360";"   16450";"    3910"
"Belcrum";"2014 december";"Breda                                   ";"Buurt   ";"BU07580100";"       1";"      70";"      70";"     110";"     390";"       2";"       2";"       4";"      14";"    2770";"    2380";"     390"
"Doornbos-Linie";"2014 december";"Breda                                   ";"Buurt   ";"BU07580101";"       1";"     120";"     250";"     240";"     550";"       3";"       7";"       6";"      15";"    3750";"    3200";"     550"
"Biesdonk";"2014 december";"Breda                                   ";"Buurt   ";"BU07580102";"       1";"     140";"     290";"     240";"     970";"       3";"       7";"       6";"      23";"    4190";"    3230";"     970"
"Geeren-Zuid";"2014 december";"Breda                                   ";"Buurt   ";"BU07580103";"       1";"     100";"     280";"     180";"     710";"       3";"      10";"       6";"      24";"    3000";"    2290";"     710"
"Wisselaar";"2014 december";"Breda                                   ";"Buurt   ";"BU07580104";"       1";"     130";"     250";"     200";"     730";"       4";"       7";"       6";"      21";"    3450";"    2720";"     730"
