"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"2013 maart";"Totaal";"                                        ";"        ";"NL00      ";"";"  358260";"  395350";"  769420";" 3137210";"";"";"";"";"";"";""
"2013 juni";"Totaal";"                                        ";"        ";"NL00      ";"";"  357990";"  402200";"  765040";" 3166060";"";"";"";"";"";"";""
"2013 september";"Totaal";"                                        ";"        ";"NL00      ";"";"  368080";"  402950";"  764880";" 3196560";"";"";"";"";"";"";""
"2013 december";"Totaal";"                                        ";"        ";"NL00      ";"";"  418590";"  413080";"  766150";" 3225720";"";"";"";"";"";"";""
"2013 maart";"Nederland";"                                        ";"        ";"NL01      ";"";"  354290";"  394810";"  746120";" 2820170";"       3";"       3";"       5";"      20";"13913600";"11086430";" 2827180"
"2013 juni";"Nederland";"                                        ";"        ";"NL01      ";"";"  353940";"  401630";"  741850";" 2846460";"       3";"       3";"       5";"      20";"13927110";"11073520";" 2853590"
"2013 september";"Nederland";"                                        ";"        ";"NL01      ";"";"  363890";"  402370";"  741670";" 2873250";"       3";"       3";"       5";"      21";"13962310";"11081800";" 2880510"
"2013 december";"Nederland";"                                        ";"        ";"NL01      ";"";"  411640";"  412520";"  742930";" 2898910";"       3";"       3";"       5";"      21";"13978540";"11076440";" 2902110"
"2013 maart";"Buitenland";"                                        ";"        ";"NL98      ";"";"    3970";"     540";"   23290";"  317040";"";"";"";"";"";"";""
"2013 juni";"Buitenland";"                                        ";"        ";"NL98      ";"";"    4050";"     570";"   23190";"  319600";"";"";"";"";"";"";""
"2013 september";"Buitenland";"                                        ";"        ";"NL98      ";"";"    4200";"     580";"   23210";"  323310";"";"";"";"";"";"";""
"2013 december";"Buitenland";"                                        ";"        ";"NL98      ";"";"    6960";"     550";"   23220";"  326820";"";"";"";"";"";"";""
"2013 maart";"Appingedam";"Appingedam                              ";"Gemeente";"GM0003    ";"       .";"     310";"     390";"     670";"    2640";"       3";"       4";"       7";"      26";"   10210";"    7560";"    2650"
"2013 juni";"Appingedam";"Appingedam                              ";"Gemeente";"GM0003    ";"       .";"     270";"     410";"     670";"    2660";"       3";"       4";"       7";"      26";"   10210";"    7540";"    2670"
"2013 september";"Appingedam";"Appingedam                              ";"Gemeente";"GM0003    ";"       .";"     300";"     400";"     670";"    2690";"       3";"       4";"       7";"      26";"   10220";"    7530";"    2690"
"2013 december";"Appingedam";"Appingedam                              ";"Gemeente";"GM0003    ";"       .";"     350";"     430";"     670";"    2690";"       3";"       4";"       7";"      26";"   10220";"    7520";"    2690"
"2013 maart";"Wijk 00";"Appingedam                              ";"Wijk    ";"WK000300  ";"       1";"     310";"     390";"     670";"    2640";"       3";"       4";"       7";"      26";"   10210";"    7560";"    2650"
"2013 juni";"Wijk 00";"Appingedam                              ";"Wijk    ";"WK000300  ";"       1";"     270";"     410";"     670";"    2660";"       3";"       4";"       7";"      26";"   10210";"    7540";"    2670"
"2013 september";"Wijk 00";"Appingedam                              ";"Wijk    ";"WK000300  ";"       1";"     300";"     400";"     670";"    2690";"       3";"       4";"       7";"      26";"   10220";"    7530";"    2690"
"2013 december";"Wijk 00";"Appingedam                              ";"Wijk    ";"WK000300  ";"       1";"     350";"     430";"     670";"    2690";"       3";"       4";"       7";"      26";"   10220";"    7520";"    2690"
"2013 maart";"Appingedam-Centrum";"Appingedam                              ";"Buurt   ";"BU00030000";"       1";"      60";"      60";"     170";"     710";"       3";"       3";"       8";"      34";"    2080";"    1370";"     710"
"2013 juni";"Appingedam-Centrum";"Appingedam                              ";"Buurt   ";"BU00030000";"       1";"      50";"      60";"     170";"     710";"       2";"       3";"       8";"      34";"    2080";"    1370";"     710"
"2013 september";"Appingedam-Centrum";"Appingedam                              ";"Buurt   ";"BU00030000";"       1";"      50";"      70";"     170";"     710";"       3";"       3";"       8";"      34";"    2090";"    1380";"     720"
