"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)"
"2014 december";"'s-Gravenhage";"'s-Gravenhage (gemeente)                ";"   13030";"   25930";"   23100";"   70780"
"2014 december";"Wijk 01 Oostduinen";"'s-Gravenhage (gemeente)                ";"       .";"       .";"       .";"       ."
"2014 december";"Oostduinen";"'s-Gravenhage (gemeente)                ";"       .";"       .";"       .";"       ."
"2014 december";"Wijk 02 Belgisch Park";"'s-Gravenhage (gemeente)                ";"     140";"     110";"     240";"    1530"
"2014 december";"Belgisch Park";"'s-Gravenhage (gemeente)                ";"     140";"     110";"     240";"    1530"
"2014 december";"Wijk 03 Westbroekpark en Duttendel";"'s-Gravenhage (gemeente)                ";"      10";"      10";"      40";"     690"
"2014 december";"Westbroekpark";"'s-Gravenhage (gemeente)                ";"      10";"      10";"      10";"     340"
"2014 december";"Duttendel";"'s-Gravenhage (gemeente)                ";"      10";"      10";"      20";"     350"
"2014 december";"Wijk 04 Benoordenhout";"'s-Gravenhage (gemeente)                ";"     130";"      50";"     160";"    3470"
"2014 december";"Nassaubuurt";"'s-Gravenhage (gemeente)                ";"      10";"      10";"      20";"     290"
"2014 december";"Uilennest";"'s-Gravenhage (gemeente)                ";"      30";"      10";"      40";"     590"
"2014 december";"Duinzigt";"'s-Gravenhage (gemeente)                ";"      10";"       0";"      20";"    1260"
"2014 december";"Waalsdorp";"'s-Gravenhage (gemeente)                ";"      30";"      10";"      40";"     690"
"2014 december";"Arendsdorp";"'s-Gravenhage (gemeente)                ";"      20";"      10";"      10";"     320"
"2014 december";"Van Hoytemastraat en omgeving";"'s-Gravenhage (gemeente)                ";"      20";"      10";"      30";"     320"
"2014 december";"Wijk 05 Archipelbuurt";"'s-Gravenhage (gemeente)                ";"      90";"      60";"     160";"    1180"
"2014 december";"Archipelbuurt";"'s-Gravenhage (gemeente)                ";"      90";"      60";"     160";"    1180"
