"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Totaal";"2021 december*";"                                        ";"        ";"NL00      ";"";"  169230";"  408140";"  772120";" 3578800";"";"";"       .";"";"";"";""
"Nederland";"2021 december*";"                                        ";"        ";"NL01      ";"";"  166620";"  407970";"  747060";" 3233130";"       1";"       3";"       5";"      22";"14873820";"11629050";" 3244770"
"Buitenland";"2021 december*";"                                        ";"        ";"NL98      ";"";"    2600";"     160";"   25050";"  345570";"";"";"       .";"";"";"";""
"Aa en Hunze";"2021 december*";"Aa en Hunze                             ";"Gemeente";"GM1680    ";"       .";"     240";"     330";"    1100";"    6450";"       1";"       2";"       5";"      29";"   22150";"   15690";"    6460"
"Wijk 00 Annen";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168000  ";"       1";"      30";"      30";"     100";"     900";"       1";"       1";"       3";"      29";"    3090";"    2190";"     900"
"Annen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800000";"       1";"      30";"      30";"     100";"     850";"       1";"       1";"       3";"      29";"    2940";"    2090";"     850"
"Verspreide huizen Annen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800009";"       1";"       0";"       0";"       0";"      50";"       1";"       0";"       2";"      32";"     140";"     100";"      50"
"Wijk 01 Eext";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168001  ";"       1";"      10";"      20";"      40";"     300";"       1";"       2";"       3";"      24";"    1250";"     960";"     300"
"Eext";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800100";"       1";"      10";"      20";"      30";"     240";"       1";"       2";"       3";"      23";"    1080";"     840";"     240"
"Verspreide huizen Eext";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800109";"       1";"       0";"       0";"      10";"      50";"       2";"       1";"       4";"      31";"     170";"     120";"      50"
"Wijk 02 Anloo";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168002  ";"       1";"       0";"      10";"      20";"      90";"       1";"       3";"       5";"      27";"     340";"     250";"      90"
"Anloo";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800200";"       1";"       0";"      10";"      10";"      80";"       1";"       3";"       5";"      28";"     280";"     200";"      80"
"Verspreide huizen Anloo";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800209";"       1";"       0";"       0";"       0";"      10";"       2";"       2";"       5";"      18";"      60";"      50";"      10"
"Wijk 03 Gasteren";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168003  ";"       1";"      10";"       0";"      10";"     110";"       2";"       1";"       3";"      30";"     370";"     260";"     110"
"Gasteren";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800300";"       1";"      10";"       0";"      10";"     110";"       2";"       1";"       3";"      31";"     350";"     250";"     110"
"Verspreide huizen Gasteren";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800309";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"      10";"       0"
"Wijk 04 Anderen";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168004  ";"       1";"       0";"       0";"      10";"      60";"       1";"       1";"       6";"      27";"     240";"     170";"      60"
"Anderen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800400";"       1";"       0";"       0";"      10";"      60";"       1";"       1";"       6";"      27";"     210";"     160";"      60"
"Verspreide huizen Anderen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800409";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      20";"      20";"      10"
"Wijk 05 Schipborg";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168005  ";"       1";"       0";"      10";"      10";"     220";"       1";"       2";"       2";"      40";"     540";"     320";"     220"
"Schipborg";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800500";"       1";"       0";"      10";"      10";"     200";"       1";"       2";"       2";"      40";"     490";"     290";"     200"
"Verspreide huizen Schipborg";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800509";"       1";"       0";"       0";"       0";"      20";"       0";"       0";"       4";"      40";"      50";"      30";"      20"
"Wijk 06 Eexterveen";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168006  ";"       1";"       0";"       0";"      10";"      70";"       1";"       0";"       3";"      16";"     410";"     340";"      70"
"Eexterveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800600";"       1";"       0";"       0";"      10";"      60";"       1";"       0";"       3";"      16";"     390";"     330";"      60"
"Verspreide huizen Eexterveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800609";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"      10";"       0"
"Wijk 07 Spijkerboor";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168007  ";"       1";"       0";"       0";"       0";"      30";"       0";"       2";"       2";"      25";"     130";"     100";"      40"
"Spijkerboor";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800700";"       1";"       0";"       0";"       0";"      30";"       0";"       2";"       2";"      25";"     130";"     100";"      40"
"Verspreide huizen Spijkerboor";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800709";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"Wijk 08 Nieuw-Annerveen";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168008  ";"       1";"       0";"       0";"      10";"      20";"       4";"       0";"       7";"      16";"      90";"      80";"      20"
"Nieuw-Annerveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800800";"       1";"       0";"       0";"      10";"      20";"       5";"       0";"       7";"      17";"      90";"      70";"      20"
"Verspreide huizen Nieuw-Annerveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800809";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"      10";"       0"
"Wijk 09 Oud-Annerveen";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";"       1";"       0";"       0";"      10";"      30";"       2";"       0";"       7";"      24";"     110";"      80";"      30"
