"Overlast";"Perioden";"Wijken en buurten";"Geregistreerde overlast (aantal)"
"Totaal registraties overlast";"2023 april";"Amsterdam";"    1926"
"Totaal registraties overlast";"2023 april";"Burgwallen-Oude Zijde";"      46"
"Totaal registraties overlast";"2023 april";"Kop Zeedijk";"      12"
"Totaal registraties overlast";"2023 april";"Oude Kerk e.o.";"      13"
"Totaal registraties overlast";"2023 april";"Burgwallen Oost";"      11"
"Totaal registraties overlast";"2023 april";"Nes e.o.";"       6"
"Totaal registraties overlast";"2023 april";"BG-terrein e.o.";"       4"
"Totaal registraties overlast";"2023 april";"Burgwallen-Nieuwe Zijde";"     125"
"Totaal registraties overlast";"2023 april";"Stationsplein e.o.";"      77"
"Totaal registraties overlast";"2023 april";"Hemelrijk";"       6"
"Totaal registraties overlast";"2023 april";"Nieuwendijk Noord";"      17"
"Totaal registraties overlast";"2023 april";"Spuistraat Noord";"       2"
"Totaal registraties overlast";"2023 april";"Nieuwe Kerk e.o.";"       6"
"Totaal registraties overlast";"2023 april";"Spuistraat Zuid";"       5"
"Totaal registraties overlast";"2023 april";"Begijnhofbuurt";"       7"
"Totaal registraties overlast";"2023 april";"Kalverdriehoek";"       5"
"Totaal registraties overlast";"2023 april";"Grachtengordel-West";"       6"
"Totaal registraties overlast";"2023 april";"Langestraat e.o.";"       2"
"Totaal registraties overlast";"2023 april";"Leliegracht e.o.";"       3"
"Totaal registraties overlast";"2023 april";"Felix Meritisbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Leidsegracht Noord";"       0"
"Totaal registraties overlast";"2023 april";"Grachtengordel-Zuid";"      31"
"Totaal registraties overlast";"2023 april";"Spiegelbuurt";"       4"
"Totaal registraties overlast";"2023 april";"Gouden Bocht";"       2"
"Totaal registraties overlast";"2023 april";"Van Loonbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Amstelveldbuurt";"       3"
"Totaal registraties overlast";"2023 april";"Rembrandtpleinbuurt";"      12"
"Totaal registraties overlast";"2023 april";"Reguliersbuurt";"       6"
"Totaal registraties overlast";"2023 april";"Leidsegracht Zuid";"       3"
"Totaal registraties overlast";"2023 april";"Nieuwmarkt/Lastage";"      37"
"Totaal registraties overlast";"2023 april";"Oosterdokseiland";"      10"
"Totaal registraties overlast";"2023 april";"Scheepvaarthuisbuurt";"       7"
"Totaal registraties overlast";"2023 april";"Rapenburg";"       3"
"Totaal registraties overlast";"2023 april";"Lastage";"       1"
"Totaal registraties overlast";"2023 april";"Nieuwmarkt";"       4"
"Totaal registraties overlast";"2023 april";"Uilenburg";"       4"
"Totaal registraties overlast";"2023 april";"Valkenburg";"       1"
"Totaal registraties overlast";"2023 april";"Zuiderkerkbuurt";"       5"
"Totaal registraties overlast";"2023 april";"Waterloopleinbuurt";"       2"
"Totaal registraties overlast";"2023 april";"Haarlemmerbuurt";"      29"
"Totaal registraties overlast";"2023 april";"Westerdokseiland";"       0"
"Totaal registraties overlast";"2023 april";"Haarlemmerbuurt Oost";"      11"
"Totaal registraties overlast";"2023 april";"Haarlemmerbuurt West";"      10"
"Totaal registraties overlast";"2023 april";"Westelijke eilanden";"       2"
"Totaal registraties overlast";"2023 april";"Planciusbuurt Noord";"       5"
"Totaal registraties overlast";"2023 april";"Planciusbuurt Zuid";"       1"
"Totaal registraties overlast";"2023 april";"Jordaan";"      51"
"Totaal registraties overlast";"2023 april";"Driehoekbuurt";"       9"
"Totaal registraties overlast";"2023 april";"Bloemgrachtbuurt";"       9"
"Totaal registraties overlast";"2023 april";"Marnixbuurt Noord";"       1"
"Totaal registraties overlast";"2023 april";"Zaagpoortbuurt";"       3"
"Totaal registraties overlast";"2023 april";"Marnixbuurt Midden";"       1"
"Totaal registraties overlast";"2023 april";"Elandsgrachtbuurt";"      10"
"Totaal registraties overlast";"2023 april";"Passeerdersgrachtbuurt";"       4"
"Totaal registraties overlast";"2023 april";"Groenmarktkadebuurt";"       3"
"Totaal registraties overlast";"2023 april";"Marnixbuurt Zuid";"       2"
"Totaal registraties overlast";"2023 april";"Anjeliersbuurt Noord";"       4"
"Totaal registraties overlast";"2023 april";"Anjeliersbuurt Zuid";"       5"
"Totaal registraties overlast";"2023 april";"De Weteringschans";"      26"
"Totaal registraties overlast";"2023 april";"Leidsebuurt Noordwest";"       1"
"Totaal registraties overlast";"2023 april";"Leidsebuurt Zuidwest";"       1"
"Totaal registraties overlast";"2023 april";"Leidsebuurt Noordoost";"      10"
"Totaal registraties overlast";"2023 april";"Leidsebuurt Zuidoost";"       3"
"Totaal registraties overlast";"2023 april";"Weteringbuurt";"       3"
"Totaal registraties overlast";"2023 april";"Den Texbuurt";"       4"
"Totaal registraties overlast";"2023 april";"Utrechtsebuurt Zuid";"       2"
"Totaal registraties overlast";"2023 april";"Frederikspleinbuurt";"       2"
"Totaal registraties overlast";"2023 april";"Weesperbuurt/Plantage";"      14"
"Totaal registraties overlast";"2023 april";"Weesperbuurt";"       4"
"Totaal registraties overlast";"2023 april";"Sarphatistrook";"       5"
"Totaal registraties overlast";"2023 april";"de Plantage";"       4"
"Totaal registraties overlast";"2023 april";"Alexanderplein e.o.";"       1"
"Totaal registraties overlast";"2023 april";"Oostelijke Eilanden/Kadijken";"      51"
"Totaal registraties overlast";"2023 april";"Marine-Etablissement";"       5"
"Totaal registraties overlast";"2023 april";"Kattenburg";"       4"
"Totaal registraties overlast";"2023 april";"Wittenburg";"       2"
"Totaal registraties overlast";"2023 april";"Oostenburg";"      11"
"Totaal registraties overlast";"2023 april";"Czaar Peterbuurt";"      12"
"Totaal registraties overlast";"2023 april";"Het Funen";"       5"
"Totaal registraties overlast";"2023 april";"Kazernebuurt";"       6"
"Totaal registraties overlast";"2023 april";"Kadijken";"       6"
"Totaal registraties overlast";"2023 april";"Westelijk Havengebied";"       4"
"Totaal registraties overlast";"2023 april";"Coenhaven/Mercuriushaven";"       2"
"Totaal registraties overlast";"2023 april";"Alfa-driehoek";"       0"
"Totaal registraties overlast";"2023 april";"Petroleumhaven";"       0"
"Totaal registraties overlast";"2023 april";"Westhaven Noord";"       0"
"Totaal registraties overlast";"2023 april";"Vervoerscentrum";"       0"
"Totaal registraties overlast";"2023 april";"Amerikahaven";"       1"
"Totaal registraties overlast";"2023 april";"Afrikahaven";"       0"
"Totaal registraties overlast";"2023 april";"Westhaven Zuid";"       1"
"Totaal registraties overlast";"2023 april";"Bedrijventerrein Sloterdijk";"      15"
"Totaal registraties overlast";"2023 april";"Sloterdijk II";"       2"
"Totaal registraties overlast";"2023 april";"Sloterdijk III Oost";"       1"
"Totaal registraties overlast";"2023 april";"Sloterdijk III West";"       0"
"Totaal registraties overlast";"2023 april";"De Heining";"       0"
"Totaal registraties overlast";"2023 april";"Teleport";"      11"
"Totaal registraties overlast";"2023 april";"Bretten Oost";"       1"
"Totaal registraties overlast";"2023 april";"Bretten West";"       0"
"Totaal registraties overlast";"2023 april";"Houthavens";"       5"
"Totaal registraties overlast";"2023 april";"Houthavens West";"       5"
"Totaal registraties overlast";"2023 april";"Houthavens Oost";"       0"
"Totaal registraties overlast";"2023 april";"Spaarndammer- en Zeeheldenbuurt";"      37"
