"Overlast";"Perioden";"Regio's";"Geregistreerde overlast (aantal)"
"Totaal registraties overlast";"2012 januari";"Breda";"     276"
"Totaal registraties overlast";"2012 februari";"Breda";"     277"
"Totaal registraties overlast";"2012 maart";"Breda";"     313"
"Totaal registraties overlast";"2012 april";"Breda";"     242"
"Totaal registraties overlast";"2012 mei";"Breda";"     402"
"Totaal registraties overlast";"2012 juni";"Breda";"     355"
"Totaal registraties overlast";"2012 juli";"Breda";"     358"
"Totaal registraties overlast";"2012 augustus";"Breda";"     447"
"Totaal registraties overlast";"2012 september";"Breda";"     371"
"Totaal registraties overlast";"2012 oktober";"Breda";"     308"
"Totaal registraties overlast";"2012 november";"Breda";"     267"
"Totaal registraties overlast";"2012 december";"Breda";"     245"
"Totaal registraties overlast";"2012";"Breda";"    3861"
"Totaal registraties overlast";"2013 januari";"Breda";"     359"
"Totaal registraties overlast";"2013 februari";"Breda";"     213"
"Totaal registraties overlast";"2013 maart";"Breda";"     248"
"Totaal registraties overlast";"2013 april";"Breda";"     273"
"Totaal registraties overlast";"2013 mei";"Breda";"     337"
"Totaal registraties overlast";"2013 juni";"Breda";"     339"
"Totaal registraties overlast";"2013 juli";"Breda";"     331"
"Totaal registraties overlast";"2013 augustus";"Breda";"     368"
"Totaal registraties overlast";"2013 september";"Breda";"     298"
"Totaal registraties overlast";"2013 oktober";"Breda";"     281"
"Totaal registraties overlast";"2013 november";"Breda";"     256"
"Totaal registraties overlast";"2013 december";"Breda";"     221"
"Totaal registraties overlast";"2013";"Breda";"    3524"
"Totaal registraties overlast";"2014 januari";"Breda";"     236"
"Totaal registraties overlast";"2014  februari";"Breda";"     237"
"Totaal registraties overlast";"2014 maart";"Breda";"     275"
"Totaal registraties overlast";"2014 april";"Breda";"     367"
"Totaal registraties overlast";"2014 mei";"Breda";"     349"
"Totaal registraties overlast";"2014 juni";"Breda";"     405"
"Totaal registraties overlast";"2014 juli";"Breda";"     414"
"Totaal registraties overlast";"2014 augustus";"Breda";"     406"
"Totaal registraties overlast";"2014 september ";"Breda";"     393"
"Totaal registraties overlast";"2014 oktober";"Breda";"     338"
"Totaal registraties overlast";"2014 november";"Breda";"     317"
"Totaal registraties overlast";"2014 december";"Breda";"     267"
"Totaal registraties overlast";"2014";"Breda";"    4004"
"Totaal registraties overlast";"2015 januari";"Breda";"     234"
"Totaal registraties overlast";"2015  februari";"Breda";"     285"
"Totaal registraties overlast";"2015 maart";"Breda";"     251"
"Totaal registraties overlast";"2015 april";"Breda";"     333"
"Totaal registraties overlast";"2015 mei";"Breda";"     374"
"Totaal registraties overlast";"2015 juni";"Breda";"     431"
"Totaal registraties overlast";"2015 juli";"Breda";"     496"
"Totaal registraties overlast";"2015 augustus";"Breda";"     394"
"Totaal registraties overlast";"2015 september";"Breda";"     302"
"Totaal registraties overlast";"2015 oktober";"Breda";"     339"
"Totaal registraties overlast";"2015 november";"Breda";"     353"
"Totaal registraties overlast";"2015 december";"Breda";"     367"
"Totaal registraties overlast";"2015";"Breda";"    4159"
"Totaal registraties overlast";"2016 januari";"Breda";"     309"
"Totaal registraties overlast";"2016  februari";"Breda";"     277"
"Totaal registraties overlast";"2016 maart";"Breda";"     353"
"Totaal registraties overlast";"2016 april";"Breda";"     406"
"Totaal registraties overlast";"2016 mei";"Breda";"     436"
"Totaal registraties overlast";"2016 juni";"Breda";"     495"
"Totaal registraties overlast";"2016 juli";"Breda";"     569"
"Totaal registraties overlast";"2016 augustus";"Breda";"     415"
"Totaal registraties overlast";"2016 september";"Breda";"     443"
"Totaal registraties overlast";"2016 oktober";"Breda";"     403"
"Totaal registraties overlast";"2016 november";"Breda";"     303"
"Totaal registraties overlast";"2016 december";"Breda";"     302"
"Totaal registraties overlast";"2016";"Breda";"    4711"
"Totaal registraties overlast";"2017 januari";"Breda";"     327"
"Totaal registraties overlast";"2017 februari";"Breda";"     294"
"Totaal registraties overlast";"2017 maart";"Breda";"     301"
"Totaal registraties overlast";"2017 april";"Breda";"     363"
"Totaal registraties overlast";"2017 mei";"Breda";"     388"
"Totaal registraties overlast";"2017 juni";"Breda";"     478"
"Totaal registraties overlast";"2017 juli";"Breda";"     489"
"Totaal registraties overlast";"2017 augustus";"Breda";"     397"
"Totaal registraties overlast";"2017 september";"Breda";"     330"
"Totaal registraties overlast";"2017 oktober";"Breda";"     333"
"Totaal registraties overlast";"2017 november";"Breda";"     274"
"Totaal registraties overlast";"2017 december";"Breda";"     302"
"Totaal registraties overlast";"2017";"Breda";"    4276"
"Totaal registraties overlast";"2018 januari ";"Breda";"     281"
"Totaal registraties overlast";"2018 februari";"Breda";"     239"
"Totaal registraties overlast";"2018 maart";"Breda";"     298"
"Totaal registraties overlast";"2018 april";"Breda";"     329"
"Totaal registraties overlast";"2018 mei";"Breda";"     342"
"Totaal registraties overlast";"2018 juni";"Breda";"     418"
"Totaal registraties overlast";"2018 juli";"Breda";"     346"
"Totaal registraties overlast";"2018 augustus";"Breda";"     416"
"Totaal registraties overlast";"2018 september";"Breda";"     315"
"Totaal registraties overlast";"2018 oktober";"Breda";"     322"
"Totaal registraties overlast";"2018 november";"Breda";"     264"
"Totaal registraties overlast";"2018 december";"Breda";"     313"
"Totaal registraties overlast";"2018";"Breda";"    3883"
"Totaal registraties overlast";"2019 januari";"Breda";"     266"
"Totaal registraties overlast";"2019 februari";"Breda";"     267"
