"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2012 januari";"Breda";"    1416"
"Totaal misdrijven";"2012 februari";"Breda";"    1300"
"Totaal misdrijven";"2012 maart";"Breda";"    1402"
"Totaal misdrijven";"2012 april";"Breda";"    1365"
"Totaal misdrijven";"2012 mei";"Breda";"    1482"
"Totaal misdrijven";"2012 juni";"Breda";"    1468"
"Totaal misdrijven";"2012 juli";"Breda";"    1287"
"Totaal misdrijven";"2012 augustus";"Breda";"    1472"
"Totaal misdrijven";"2012 september";"Breda";"    1457"
"Totaal misdrijven";"2012 oktober";"Breda";"    1514"
"Totaal misdrijven";"2012 november";"Breda";"    1473"
"Totaal misdrijven";"2012 december";"Breda";"    1272"
"Totaal misdrijven";"2012";"Breda";"   16908"
"Totaal misdrijven";"2013 januari";"Breda";"    1532"
"Totaal misdrijven";"2013 februari";"Breda";"    1434"
"Totaal misdrijven";"2013 maart";"Breda";"    1353"
"Totaal misdrijven";"2013 april";"Breda";"    1294"
"Totaal misdrijven";"2013 mei";"Breda";"    1191"
"Totaal misdrijven";"2013 juni";"Breda";"    1195"
"Totaal misdrijven";"2013 juli";"Breda";"    1117"
"Totaal misdrijven";"2013 augustus";"Breda";"    1218"
"Totaal misdrijven";"2013 september";"Breda";"    1265"
"Totaal misdrijven";"2013 oktober";"Breda";"    1308"
"Totaal misdrijven";"2013 november";"Breda";"    1321"
"Totaal misdrijven";"2013 december";"Breda";"    1213"
"Totaal misdrijven";"2013";"Breda";"   15441"
"Totaal misdrijven";"2014 januari";"Breda";"    1285"
"Totaal misdrijven";"2014  februari";"Breda";"    1178"
"Totaal misdrijven";"2014 maart";"Breda";"    1305"
"Totaal misdrijven";"2014 april";"Breda";"    1263"
"Totaal misdrijven";"2014 mei";"Breda";"    1141"
"Totaal misdrijven";"2014 juni";"Breda";"    1214"
"Totaal misdrijven";"2014 juli";"Breda";"    1147"
"Totaal misdrijven";"2014 augustus";"Breda";"    1062"
"Totaal misdrijven";"2014 september ";"Breda";"    1070"
"Totaal misdrijven";"2014 oktober";"Breda";"    1225"
"Totaal misdrijven";"2014 november";"Breda";"    1245"
"Totaal misdrijven";"2014 december";"Breda";"    1071"
"Totaal misdrijven";"2014";"Breda";"   14206"
"Totaal misdrijven";"2015 januari";"Breda";"    1152"
"Totaal misdrijven";"2015  februari";"Breda";"    1165"
"Totaal misdrijven";"2015 maart";"Breda";"    1162"
"Totaal misdrijven";"2015 april";"Breda";"    1091"
"Totaal misdrijven";"2015 mei";"Breda";"    1116"
"Totaal misdrijven";"2015 juni";"Breda";"    1017"
